District,Year,Season,Rainfall_mm,Temperature_C,Soil_Moisture_%,Coffee_Yield_kg_per_hectare,Pest_Infestation_%,Fertilizer_Usage_kg_per_hectare
Chikkamagaluru,2019,Winter,127.1,33.2,38.0,684.6,12.3,38.1
Palakkad,2023,Winter,84.7,32.4,52.8,877.0,11.2,78.0
Wayanad,2021,Summer,297.1,17.7,52.3,1979.2,14.4,69.1
Idukki,2020,Winter,257.5,20.9,49.8,937.3,25.8,132.1
Nilgiris,2021,Monsoon,342.6,33.9,57.4,779.1,21.3,119.2
Kodagu,2022,Winter,175.8,22.6,13.0,1695.5,7.4,118.3
Hassan,2023,Summer,21.9,23.6,34.3,1297.7,16.6,121.2
Kodagu,2022,Monsoon,95.3,34.3,54.3,517.6,11.6,148.5
Palakkad,2022,Winter,223.7,28.0,18.8,2174.7,6.0,49.8
Idukki,2019,Post-Monsoon,227.3,15.9,57.9,1110.9,26.5,121.0
Chikkamagaluru,2019,Monsoon,247.3,18.4,43.4,1312.8,20.0,35.2
Hassan,2022,Summer,105.0,24.9,43.9,809.1,2.0,95.5
Nilgiris,2020,Monsoon,372.4,18.0,12.9,823.1,23.2,109.1
Wayanad,2022,Monsoon,198.2,27.9,34.4,2468.1,9.6,112.9
Nilgiris,2022,Monsoon,338.5,22.7,37.7,1262.3,0.4,95.1
Kodagu,2021,Winter,246.6,23.4,39.0,2050.3,9.3,128.1
Hassan,2019,Summer,350.1,31.6,62.5,708.1,10.7,129.3
Chikkamagaluru,2023,Winter,168.6,27.4,74.8,2158.0,13.2,109.7
Palakkad,2022,Post-Monsoon,355.0,34.7,52.7,795.9,22.8,29.1
Wayanad,2022,Winter,21.1,33.1,57.6,1345.1,26.1,112.9
Idukki,2023,Winter,215.8,31.7,29.9,2412.5,6.9,87.6
Kodagu,2019,Winter,92.2,32.4,58.2,2178.0,20.2,143.5
Palakkad,2020,Post-Monsoon,204.6,26.1,39.2,1067.6,1.4,103.7
Nilgiris,2019,Post-Monsoon,234.1,34.5,25.0,1002.7,21.5,65.6
Hassan,2021,Post-Monsoon,277.7,16.8,78.1,720.2,3.2,22.3
Chikkamagaluru,2022,Winter,304.2,15.5,27.4,1217.0,12.0,40.4
Idukki,2021,Monsoon,427.2,29.7,30.9,1916.8,14.1,106.6
Wayanad,2021,Winter,385.5,28.2,19.1,1963.7,7.0,57.8
Nilgiris,2022,Post-Monsoon,96.9,25.4,13.7,1347.6,20.0,50.6
Hassan,2022,Winter,380.3,19.4,63.7,634.8,6.2,45.5
Palakkad,2021,Post-Monsoon,352.5,24.5,71.3,1588.3,2.3,96.1
Kodagu,2021,Post-Monsoon,153.3,15.3,72.9,1904.4,20.0,57.5
Idukki,2020,Monsoon,233.7,17.4,18.4,1153.1,19.5,83.7
Wayanad,2021,Post-Monsoon,181.8,16.6,47.1,1737.8,4.7,140.3
Chikkamagaluru,2019,Summer,68.6,20.3,65.2,1153.1,25.1,75.8
Nilgiris,2023,Summer,44.2,32.6,47.4,1854.6,0.8,45.4
Palakkad,2019,Monsoon,191.5,31.9,37.7,1887.5,21.5,51.3
Kodagu,2021,Summer,325.6,21.1,15.1,1723.7,23.0,121.1
Wayanad,2019,Winter,85.5,19.1,35.9,2080.7,12.2,38.3
Idukki,2019,Winter,170.8,33.8,70.8,1610.2,20.3,52.1
Chikkamagaluru,2020,Winter,315.2,30.4,64.7,1274.8,15.7,63.9
Hassan,2022,Post-Monsoon,130.4,18.2,18.4,1320.4,0.3,118.3
Palakkad,2023,Monsoon,75.7,25.5,42.0,1006.8,6.9,42.8
Idukki,2023,Post-Monsoon,324.4,31.9,49.8,2276.4,17.1,69.0
Kodagu,2022,Post-Monsoon,331.5,24.0,67.3,1724.0,24.8,80.9
Hassan,2021,Winter,202.3,20.2,50.3,1825.8,6.1,96.2
Nilgiris,2023,Monsoon,413.0,25.4,12.9,878.2,17.9,138.4
Chikkamagaluru,2021,Winter,324.2,25.2,38.0,1702.5,14.0,81.1
Wayanad,2023,Winter,195.6,18.1,42.7,1996.1,17.2,69.7
Palakkad,2023,Post-Monsoon,110.8,26.7,44.0,2363.1,3.1,72.8
Idukki,2021,Summer,180.3,34.4,33.2,841.3,23.5,67.4
Hassan,2020,Monsoon,381.7,34.8,16.7,1587.4,24.5,52.5
Wayanad,2020,Summer,284.6,30.4,20.5,2325.7,11.8,130.1
Kodagu,2023,Post-Monsoon,195.9,15.9,31.0,551.2,9.1,99.7
Chikkamagaluru,2021,Monsoon,50.4,23.4,62.4,1773.4,25.3,142.4
Nilgiris,2019,Summer,257.9,18.9,53.6,747.9,6.8,100.3
Nilgiris,2021,Post-Monsoon,360.0,33.4,56.2,952.4,18.6,130.8
Hassan,2019,Winter,134.1,26.4,75.8,821.8,5.3,132.7
Chikkamagaluru,2020,Monsoon,252.3,22.7,58.5,1284.7,27.2,143.9
Kodagu,2023,Monsoon,98.9,25.8,55.6,2456.1,16.7,74.6
Wayanad,2019,Post-Monsoon,403.0,23.0,39.1,1406.4,10.3,66.5
Palakkad,2022,Monsoon,314.9,26.9,13.9,1294.3,12.4,46.3
Idukki,2021,Post-Monsoon,99.6,23.6,24.6,2126.4,22.2,109.7
Palakkad,2020,Winter,245.8,27.6,29.2,2100.5,9.1,110.3
Idukki,2023,Monsoon,373.3,26.1,27.6,1959.5,11.6,53.8
Wayanad,2019,Summer,436.8,17.6,11.3,574.3,18.1,62.5
Kodagu,2020,Summer,234.6,25.7,50.0,1386.0,23.9,132.5
Nilgiris,2020,Post-Monsoon,64.4,18.9,36.6,727.1,12.9,54.7
Chikkamagaluru,2023,Post-Monsoon,204.0,16.8,37.2,747.4,8.7,44.4
Hassan,2020,Winter,348.0,22.3,15.8,2160.9,24.3,86.9
Palakkad,2021,Monsoon,370.7,24.7,14.9,1575.9,11.7,66.3
Idukki,2022,Post-Monsoon,440.6,27.9,68.8,1946.0,17.9,128.1
Kodagu,2019,Summer,366.8,26.7,69.0,2393.6,19.7,138.2
Nilgiris,2019,Monsoon,67.7,23.5,41.7,1954.1,16.7,56.6
Chikkamagaluru,2022,Monsoon,303.6,26.5,20.8,1799.5,28.8,84.1
Hassan,2019,Monsoon,193.2,28.7,70.9,2393.3,13.0,36.0
Wayanad,2023,Monsoon,441.2,26.8,29.2,2354.0,24.2,81.2
Wayanad,2020,Post-Monsoon,86.7,26.5,59.8,672.8,22.1,20.3
Hassan,2022,Monsoon,392.7,24.1,60.5,1518.3,6.3,72.1
Palakkad,2019,Summer,41.8,18.7,31.1,1546.3,10.8,35.8
Idukki,2020,Summer,328.4,30.3,33.6,836.5,3.3,127.6
Chikkamagaluru,2023,Monsoon,248.4,24.9,35.7,765.2,6.8,73.6
Nilgiris,2023,Post-Monsoon,389.9,33.0,44.8,573.4,26.4,116.2
Kodagu,2022,Summer,385.4,17.9,15.9,1524.9,23.7,98.3
Wayanad,2022,Summer,36.9,35.0,59.0,798.1,1.1,38.9
Chikkamagaluru,2021,Post-Monsoon,269.9,34.5,10.1,2164.8,21.1,67.4
Kodagu,2019,Post-Monsoon,127.4,23.2,50.5,2148.3,4.2,141.7
Hassan,2023,Winter,210.7,18.0,10.2,1499.1,11.9,106.0
Palakkad,2022,Summer,379.7,27.9,34.7,1021.8,6.9,49.8
Nilgiris,2022,Summer,288.4,30.4,72.6,2142.4,14.7,73.1
Idukki,2019,Summer,410.4,26.0,47.3,1887.6,6.9,80.5
Chikkamagaluru,2022,Summer,258.1,23.4,40.3,1212.1,28.1,119.5
Idukki,2022,Summer,326.2,30.3,30.5,677.6,19.8,52.6
Wayanad,2023,Summer,292.7,20.3,23.1,2328.7,9.3,41.2
Palakkad,2019,Post-Monsoon,224.7,27.2,36.0,1303.8,28.5,75.6
Hassan,2019,Post-Monsoon,165.3,15.7,45.9,1877.1,1.6,118.0
Kodagu,2021,Monsoon,388.4,19.7,49.0,2415.5,14.2,106.0
Nilgiris,2021,Summer,167.3,25.4,68.8,828.2,25.7,89.0
Wayanad,2022,Post-Monsoon,136.9,28.9,13.5,2425.8,27.4,38.6
Chikkamagaluru,2021,Summer,172.2,17.9,35.2,2054.9,23.3,93.0
Idukki,2023,Summer,448.1,22.1,38.6,1261.4,2.3,145.6
Hassan,2021,Summer,278.7,23.9,32.6,2286.7,8.7,74.6
Nilgiris,2020,Summer,107.5,26.9,16.6,2389.6,22.3,40.1
Palakkad,2020,Monsoon,216.9,32.3,36.7,2187.8,20.1,134.7
Kodagu,2023,Winter,202.5,31.8,11.8,1697.0,24.4,114.4
Wayanad,2020,Monsoon,89.8,25.6,42.4,1834.7,20.7,46.0
Palakkad,2020,Summer,223.8,27.2,72.9,1061.8,7.5,51.5
Idukki,2022,Winter,27.7,34.8,26.1,1262.0,28.8,135.3
Hassan,2021,Monsoon,370.5,31.1,28.1,1605.5,2.7,25.9
Kodagu,2020,Monsoon,220.2,34.4,71.0,2138.0,29.9,27.6
Chikkamagaluru,2023,Summer,384.0,24.8,35.8,1645.1,14.9,97.6
Nilgiris,2023,Winter,279.9,26.5,69.2,1794.1,5.7,61.7
Idukki,2019,Monsoon,191.7,25.8,67.2,1049.2,1.8,139.5
Kodagu,2019,Monsoon,394.3,32.5,36.4,2341.6,20.3,107.7
Wayanad,2019,Monsoon,214.7,15.1,38.5,897.7,16.5,43.7
Hassan,2020,Post-Monsoon,417.2,23.2,22.6,1632.9,11.2,126.0
Nilgiris,2021,Winter,42.2,19.0,59.1,1373.7,27.8,130.6
Chikkamagaluru,2020,Summer,341.0,34.9,45.4,1025.1,4.4,63.4
Palakkad,2021,Winter,323.3,25.4,65.6,826.8,0.1,41.4
Hassan,2020,Summer,83.0,30.2,38.8,603.1,16.6,78.3
Nilgiris,2019,Winter,93.3,27.6,19.7,694.1,19.8,82.7
Kodagu,2020,Post-Monsoon,170.3,30.1,66.2,1391.6,7.9,113.7
Chikkamagaluru,2020,Post-Monsoon,298.8,23.2,70.3,2493.5,6.5,128.1
Palakkad,2023,Summer,138.9,19.9,14.2,1432.8,11.2,22.6
Wayanad,2020,Winter,297.3,20.7,19.4,2034.6,14.7,113.6
Idukki,2022,Monsoon,383.1,17.9,21.6,2069.8,0.1,46.9
Chikkamagaluru,2022,Post-Monsoon,172.2,15.0,32.0,1736.1,20.1,97.0
Wayanad,2023,Post-Monsoon,57.6,26.7,11.0,1694.5,21.8,120.7
Hassan,2023,Post-Monsoon,272.2,16.4,59.9,545.7,28.2,27.3
Nilgiris,2022,Winter,20.6,33.8,35.2,1004.2,20.2,68.5
Idukki,2021,Winter,289.3,30.9,14.1,2226.2,19.2,63.7
Kodagu,2020,Winter,105.4,27.7,34.4,1210.6,17.3,78.5
Palakkad,2019,Winter,40.0,28.6,30.1,2417.6,21.0,77.7
